Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site,Chl_ug_L_Corrected
8:31:08,15.61,53.56,43.96,34.82,35.4,11.3,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:31:09,15.62,53.57,43.97,34.82,35.4,11.3,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:31:10,15.62,53.57,43.97,34.82,35.4,11.3,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:31:12,15.62,53.58,43.97,34.82,35.41,11.2,4,sbs_before,5/19/19,H,Down,Morro Bay,4
8:31:13,15.62,53.58,43.98,34.83,35.41,11.3,4.1,sbs_before,5/19/19,H,Down,Morro Bay,4.1
8:31:14,15.61,53.59,43.98,34.83,35.42,11.3,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:31:15,15.61,53.59,43.98,34.83,35.42,11.3,3.9,sbs_before,5/19/19,H,Down,Morro Bay,3.9
8:31:16,15.61,53.6,43.99,34.84,35.42,11.3,4,sbs_before,5/19/19,H,Down,Morro Bay,4
8:31:17,15.61,53.6,43.99,34.84,35.43,11.4,4.2,sbs_before,5/19/19,H,Down,Morro Bay,4.2
8:31:18,15.61,53.6,43.99,34.84,35.43,11.4,4.1,sbs_before,5/19/19,H,Down,Morro Bay,4.1
8:31:20,15.61,53.61,44,34.85,35.43,11.4,4.1,sbs_before,5/19/19,H,Down,Morro Bay,4.1
8:31:21,15.61,53.61,44,34.85,35.43,11.4,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:31:22,15.62,53.61,44,34.85,35.43,11.4,3.9,sbs_before,5/19/19,H,Down,Morro Bay,3.9
8:31:23,15.62,53.61,44.01,34.85,35.43,11.4,4,sbs_before,5/19/19,H,Down,Morro Bay,4
8:31:24,15.62,53.61,44.01,34.85,35.44,11.4,4.1,sbs_before,5/19/19,H,Down,Morro Bay,4.1
8:31:25,15.62,53.62,44.02,34.85,35.44,11.4,4,sbs_before,5/19/19,H,Down,Morro Bay,4
8:31:26,15.62,53.62,44.02,34.85,35.44,11.4,3.9,sbs_before,5/19/19,H,Down,Morro Bay,3.9
8:31:28,15.63,53.63,44.03,34.86,35.44,11.4,4,sbs_before,5/19/19,H,Down,Morro Bay,4
8:31:29,15.63,53.63,44.03,34.86,35.45,11.4,3.9,sbs_before,5/19/19,H,Down,Morro Bay,3.9
8:31:30,15.63,53.64,44.04,34.86,35.45,11.5,3.9,sbs_before,5/19/19,H,Down,Morro Bay,3.9
8:31:31,15.63,53.64,44.04,34.87,35.46,11.5,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:31:32,15.63,53.65,44.04,34.87,35.46,11.4,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:31:33,15.63,53.65,44.05,34.87,35.46,11.4,4,sbs_before,5/19/19,H,Down,Morro Bay,4
8:31:34,15.63,53.65,44.05,34.88,35.47,11.5,4,sbs_before,5/19/19,H,Down,Morro Bay,4
8:31:36,15.63,53.66,44.05,34.88,35.47,11.5,3.9,sbs_before,5/19/19,H,Down,Morro Bay,3.9
8:31:37,15.63,53.66,44.05,34.88,35.47,11.5,3.9,sbs_before,5/19/19,H,Down,Morro Bay,3.9
8:31:38,15.63,53.66,44.06,34.88,35.47,11.4,3.5,sbs_before,5/19/19,H,Down,Morro Bay,3.5
8:31:39,15.63,53.67,44.06,34.88,35.47,11.4,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:31:40,15.63,53.67,44.06,34.88,35.47,11.4,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:31:41,15.63,53.67,44.07,34.89,35.48,11.4,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:31:42,15.64,53.68,44.08,34.89,35.48,11.4,3.9,sbs_before,5/19/19,H,Down,Morro Bay,3.9
8:31:44,15.64,53.69,44.09,34.9,35.49,11.4,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:31:45,15.64,53.69,44.1,34.9,35.5,11.4,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:31:46,15.64,53.7,44.11,34.91,35.5,11.5,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:31:47,15.64,53.7,44.11,34.91,35.5,11.5,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:31:48,15.65,53.71,44.11,34.91,35.51,11.5,3.5,sbs_before,5/19/19,H,Down,Morro Bay,3.5
8:31:49,15.65,53.71,44.12,34.91,35.51,11.5,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:31:50,15.65,53.71,44.12,34.91,35.51,11.5,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:31:52,15.65,53.72,44.12,34.92,35.51,11.5,3.5,sbs_before,5/19/19,H,Down,Morro Bay,3.5
8:31:53,15.65,53.72,44.13,34.92,35.52,11.5,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:31:54,15.65,53.73,44.13,34.92,35.52,11.5,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:31:55,15.65,53.73,44.13,34.93,35.52,11.5,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:31:56,15.65,53.74,44.14,34.93,35.53,11.5,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:31:57,15.65,53.74,44.15,34.93,35.53,11.5,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:31:58,15.65,53.75,44.15,34.94,35.53,11.5,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:32:00,15.65,53.75,44.16,34.94,35.54,11.5,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:32:01,15.66,53.76,44.17,34.95,35.55,11.5,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:32:02,15.66,53.77,44.18,34.95,35.55,11.5,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:32:03,15.66,53.77,44.18,34.95,35.56,11.5,3.4,sbs_before,5/19/19,H,Down,Morro Bay,3.4
8:32:04,15.66,53.78,44.19,34.96,35.56,11.5,3.4,sbs_before,5/19/19,H,Down,Morro Bay,3.4
8:32:05,15.66,53.79,44.19,34.96,35.57,11.6,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:32:06,15.66,53.79,44.2,34.96,35.57,11.6,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:32:08,15.66,53.8,44.2,34.97,35.57,11.6,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:32:09,15.66,53.81,44.21,34.97,35.58,11.6,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:32:10,15.66,53.81,44.21,34.98,35.58,11.5,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:32:11,15.67,53.81,44.22,34.98,35.58,11.5,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:32:12,15.67,53.81,44.22,34.98,35.58,11.5,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:32:13,15.67,53.82,44.22,34.98,35.59,11.5,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:32:14,15.67,53.82,44.23,34.98,35.59,11.5,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:32:16,15.67,53.83,44.23,34.99,35.6,11.5,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:32:17,15.67,53.83,44.24,34.99,35.6,11.5,4,sbs_before,5/19/19,H,Down,Morro Bay,4
8:32:18,15.67,53.84,44.24,35,35.6,11.4,4,sbs_before,5/19/19,H,Down,Morro Bay,4
8:32:19,15.67,53.84,44.24,35,35.6,11.4,3.9,sbs_before,5/19/19,H,Down,Morro Bay,3.9
8:32:20,15.67,53.84,44.25,35,35.61,11.5,4.1,sbs_before,5/19/19,H,Down,Morro Bay,4.1
8:32:21,15.67,53.85,44.25,35,35.61,11.4,4.2,sbs_before,5/19/19,H,Down,Morro Bay,4.2
8:32:22,15.67,53.85,44.25,35,35.61,11.4,4.2,sbs_before,5/19/19,H,Down,Morro Bay,4.2
8:32:24,15.67,53.85,44.25,35,35.61,11.4,4.3,sbs_before,5/19/19,H,Down,Morro Bay,4.3
8:32:25,15.67,53.86,44.26,35.01,35.62,11.4,4.3,sbs_before,5/19/19,H,Down,Morro Bay,4.3
8:32:26,15.67,53.86,44.26,35.01,35.62,11.5,4.1,sbs_before,5/19/19,H,Down,Morro Bay,4.1
8:32:27,15.67,53.86,44.26,35.01,35.62,11.5,4.1,sbs_before,5/19/19,H,Down,Morro Bay,4.1
8:32:28,15.67,53.86,44.27,35.01,35.62,11.5,3.9,sbs_before,5/19/19,H,Down,Morro Bay,3.9
8:32:29,15.67,53.87,44.27,35.01,35.62,11.4,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:32:30,15.67,53.87,44.27,35.01,35.62,11.4,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:32:32,15.68,53.87,44.28,35.02,35.63,11.4,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:32:33,15.68,53.87,44.28,35.02,35.63,11.4,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:32:34,15.68,53.88,44.28,35.02,35.63,11.4,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:32:35,15.68,53.88,44.28,35.02,35.63,11.4,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:32:36,15.68,53.88,44.29,35.02,35.63,11.4,3.9,sbs_before,5/19/19,H,Down,Morro Bay,3.9
8:32:37,15.68,53.88,44.29,35.02,35.64,11.4,4,sbs_before,5/19/19,H,Down,Morro Bay,4
8:32:38,15.68,53.88,44.29,35.02,35.64,11.4,4.1,sbs_before,5/19/19,H,Down,Morro Bay,4.1
8:32:40,15.68,53.89,44.3,35.03,35.64,11.4,3.8,sbs_before,5/19/19,H,Down,Morro Bay,3.8
8:32:41,15.68,53.9,44.3,35.03,35.65,11.4,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:32:42,15.68,53.9,44.31,35.04,35.65,11.4,3.3,sbs_before,5/19/19,H,Down,Morro Bay,3.3
8:32:43,15.68,53.9,44.31,35.04,35.65,11.4,3.2,sbs_before,5/19/19,H,Down,Morro Bay,3.2
8:32:44,15.68,53.91,44.32,35.04,35.66,11.4,3,sbs_before,5/19/19,H,Down,Morro Bay,3
8:32:45,15.68,53.91,44.32,35.04,35.66,11.4,3.2,sbs_before,5/19/19,H,Down,Morro Bay,3.2
8:32:46,15.68,53.92,44.32,35.05,35.66,11.4,3.2,sbs_before,5/19/19,H,Down,Morro Bay,3.2
8:32:48,15.69,53.92,44.33,35.05,35.66,11.4,3.3,sbs_before,5/19/19,H,Down,Morro Bay,3.3
8:32:49,15.69,53.92,44.33,35.05,35.67,11.4,3.5,sbs_before,5/19/19,H,Down,Morro Bay,3.5
8:32:50,15.69,53.93,44.33,35.05,35.67,11.4,3.4,sbs_before,5/19/19,H,Down,Morro Bay,3.4
8:32:51,15.69,53.93,44.34,35.05,35.67,11.4,3.3,sbs_before,5/19/19,H,Down,Morro Bay,3.3
8:32:52,15.69,53.93,44.34,35.05,35.67,11.3,3.3,sbs_before,5/19/19,H,Down,Morro Bay,3.3
8:32:53,15.69,53.93,44.34,35.05,35.67,11.3,3.7,sbs_before,5/19/19,H,Down,Morro Bay,3.7
8:32:54,15.69,53.93,44.34,35.06,35.67,11.3,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
8:32:56,15.69,53.93,44.35,35.06,35.67,11.3,3.5,sbs_before,5/19/19,H,Down,Morro Bay,3.5
8:32:57,15.7,53.94,44.35,35.06,35.68,11.2,3.6,sbs_before,5/19/19,H,Down,Morro Bay,3.6
