Time,Temp_C,SpCond_mS_cm,Cond_mS_cm,TDS_g_L,Sal_ppt,Turbidity_NTU,Chl_ug_L,Experiment,Date,Sonde,Position,Site,Chl_ug_L_Corrected
10:50:01,19.04,55.28,48.99,35.93,36.72,2.7,1.7,sbs_before,4/15/19,H,Down,Deanza,1.7
10:50:02,19.04,55.28,48.99,35.93,36.72,2.7,1.8,sbs_before,4/15/19,H,Down,Deanza,1.8
10:50:04,19.04,55.28,48.99,35.93,36.72,2.7,1.8,sbs_before,4/15/19,H,Down,Deanza,1.8
10:50:05,19.04,55.28,48.99,35.93,36.72,2.7,1.7,sbs_before,4/15/19,H,Down,Deanza,1.7
10:50:06,19.04,55.29,48.99,35.94,36.72,2.7,2,sbs_before,4/15/19,H,Down,Deanza,2
10:50:07,19.04,55.29,49,35.94,36.72,2.7,2,sbs_before,4/15/19,H,Down,Deanza,2
10:50:08,19.04,55.29,49,35.94,36.72,2.7,1.9,sbs_before,4/15/19,H,Down,Deanza,1.9
10:50:09,19.04,55.29,49,35.94,36.72,2.6,1.9,sbs_before,4/15/19,H,Down,Deanza,1.9
10:50:10,19.04,55.29,49,35.94,36.72,2.6,1.9,sbs_before,4/15/19,H,Down,Deanza,1.9
10:50:12,19.04,55.29,49,35.94,36.73,2.7,2,sbs_before,4/15/19,H,Down,Deanza,2
10:50:13,19.04,55.29,49,35.94,36.73,2.7,2.1,sbs_before,4/15/19,H,Down,Deanza,2.1
10:50:14,19.04,55.29,49,35.94,36.73,2.6,2,sbs_before,4/15/19,H,Down,Deanza,2
10:50:15,19.04,55.29,49,35.94,36.73,2.6,2,sbs_before,4/15/19,H,Down,Deanza,2
10:50:16,19.04,55.29,49,35.94,36.73,2.6,2,sbs_before,4/15/19,H,Down,Deanza,2
10:50:17,19.04,55.29,49,35.94,36.73,2.6,2.1,sbs_before,4/15/19,H,Down,Deanza,2.1
10:50:18,19.04,55.29,49,35.94,36.73,2.6,2.2,sbs_before,4/15/19,H,Down,Deanza,2.2
10:50:20,19.04,55.3,49,35.94,36.73,2.6,2.1,sbs_before,4/15/19,H,Down,Deanza,2.1
10:50:21,19.04,55.3,49,35.94,36.73,2.6,2.1,sbs_before,4/15/19,H,Down,Deanza,2.1
10:50:22,19.04,55.3,49,35.94,36.73,2.6,2.1,sbs_before,4/15/19,H,Down,Deanza,2.1
