Date,Site,sample_type,filter_ID,filter_weight_corrected_g,dry_weight_corrected_g,ash_weight_corrected_g,sample_volume_ml,TPM,PIM,POM,Organic_Content_Ratio
7/17/18,San Rafael,TSS,C0434976,0.1048,0.1262,0.1239,280,0.07642857142857144,0.008214285714285757,0.06821428571428569,0.8925233644859808
7/17/18,San Rafael,TSS,C0434977,0.1063,0.1246,0.1225,210,0.08714285714285713,0.010000000000000023,0.07714285714285711,0.885245901639344
7/17/18,San Rafael,TSS,C0434975,0.1042,0.122,0.1197,265,0.06716981132075471,0.00867924528301886,0.05849056603773585,0.8707865168539327
7/18/18,San Rafael,TSS,C0434970,0.1049,0.1244,0.1201,510,0.03823529411764707,0.008431372549019607,0.02980392156862746,0.7794871794871796
7/18/18,San Rafael,TSS,C0434969,0.1048,0.1243,0.1199,460,0.042391304347826064,0.009565217391304323,0.03282608695652174,0.7743589743589748
7/18/18,San Rafael,TSS,C0434968,0.105,0.1217,0.1189,475,0.03515789473684212,0.005894736842105255,0.029263157894736862,0.8323353293413177
7/27/18,Morro Bay,TSS,D0261808,0.10780000000000001,0.124,0.1199,1000,0.016199999999999992,0.0040999999999999925,0.0121,0.7469135802469139
7/27/18,Morro Bay,TSS,D0261807,0.1056,0.1253,0.1203,1000,0.019699999999999995,0.0049999999999999906,0.014700000000000005,0.7461928934010157
7/27/18,Morro Bay,TSS,D0261806,0.1079,0.1246,0.1199,1000,0.016700000000000007,0.004699999999999996,0.01200000000000001,0.7185628742514973
7/28/18,Morro Bay,TSS,D0261804,0.1062,0.1208,0.1163,1000,0.014600000000000002,0.004500000000000004,0.010099999999999998,0.691780821917808
7/28/18,Morro Bay,TSS,D0261803,0.107,0.122,0.1167,1000,0.015,0.005299999999999999,0.0097,0.6466666666666667
7/28/18,Morro Bay,TSS,D0261801,0.1073,0.1215,0.1167,1000,0.01419999999999999,0.004799999999999999,0.009399999999999992,0.6619718309859154
9/10/18,San Rafael,TSS,D0261797,0.1065,0.1198,0.1182,305,0.0436065573770492,0.005245901639344276,0.038360655737704925,0.8796992481203005
9/10/18,San Rafael,TSS,D0261796,0.1065,0.1182,0.1171,370,0.03162162162162163,0.0029729729729729877,0.028648648648648644,0.9059829059829055
9/10/18,San Rafael,TSS,D0261794,0.1072,0.1187,0.1178,345,0.033333333333333326,0.0026086956521739132,0.030724637681159413,0.9217391304347826
10/26/18,Deanza,TSS,D0261793,0.1073,0.1117,0.1099,930,0.004731182795698911,0.0019354838709677376,0.0027956989247311733,0.5909090909090906
10/26/18,Deanza,TSS,D0261792,0.1074,0.112,0.1102,875,0.005257142857142865,0.0020571428571428524,0.0032000000000000123,0.6086956521739145
10/26/18,Deanza,TSS,D0261791,0.1066,0.1095,0.1087,910,0.0031868131868131866,8.791208791208739e-4,0.0023076923076923127,0.7241379310344844
11/7/18,San Rafael,TSS,D0261786,0.1069,0.1153,0.1142,330,0.025454545454545466,0.003333333333333341,0.022121212121212125,0.8690476190476188
11/7/18,San Rafael,TSS,D0261785,0.1067,0.1181,0.1167,430,0.02651162790697673,0.003255813953488368,0.02325581395348836,0.8771929824561404
11/7/18,San Rafael,TSS,D0261832,0.106,0.1263,0.1208,532,0.0381578947368421,0.010338345864661633,0.027819548872180466,0.7290640394088675
11/8/18,San Rafael,TSS,D0261789,0.1064,0.1178,0.1161,390,0.02923076923076925,0.004358974358974376,0.024871794871794875,0.8508771929824557
11/8/18,San Rafael,TSS,D0261788,0.1077,0.1209,0.1193,370,0.035675675675675644,0.004324324324324294,0.03135135135135135,0.8787878787878796
4/15/19,Deanza,TSS,D0261766,0.1067,0.1115,0.1095,1000,0.004799999999999999,0.0020000000000000013,0.0027999999999999974,0.5833333333333329
4/15/19,Deanza,TSS,D0261765,0.107,0.1122,0.1105,1000,0.005199999999999996,0.0016999999999999932,0.003500000000000003,0.6730769230769241
4/15/19,Deanza,TSS,D0261763,0.1055,0.1107,0.109,1000,0.00520000000000001,0.001700000000000007,0.003500000000000003,0.6730769230769224
4/17/19,Deanza,TSS,D0261762,0.10780000000000001,0.1109,0.1104,1000,0.0030999999999999917,5.000000000000004e-4,0.002599999999999991,0.8387096774193543
4/17/19,Deanza,TSS,D0261760,0.1061,0.1114,0.1097,1000,0.005299999999999999,0.0016999999999999932,0.003600000000000006,0.6792452830188691
4/17/19,Deanza,TSS,D0261759,0.1064,0.1101,0.1093,1000,0.0037000000000000093,8.000000000000095e-4,0.0029,0.7837837837837818
4/18/19,Deanza,TSS,D0261831,0.1052,0.1126,0.11,1000,0.007400000000000004,0.002600000000000005,0.004799999999999999,0.6486486486486481
4/18/19,Deanza,TSS,D0261830,0.1043,0.0951,0.1079,1000,-0.0092,-0.012799999999999992,0.003599999999999992,-0.3913043478260861
4/18/19,Deanza,TSS,D0261829,0.1075,0.1138,0.1116,1000,0.0063,0.0021999999999999936,0.004100000000000006,0.6507936507936518
5/9/19,Deanza,TSS,D0261815,0.1047,0.1127,0.111,3000,0.0026666666666666644,5.666666666666645e-4,0.0021,0.7875000000000006
5/10/19,Deanza,TSS,D0261817,0.1053,0.1155,0.1139,2000,0.0051,8.000000000000021e-4,0.004299999999999998,0.8431372549019603
5/10/19,Shellmaker,TSS,D0261814,0.1066,0.1197,0.1165,2220,0.005900900900900901,0.0014414414414414397,0.004459459459459462,0.7557251908396949
5/11/19,Shellmaker,TSS,D0261812,0.1058,0.1172,0.1143,2220,0.005135135135135132,0.0013063063063063064,0.0038288288288288257,0.7456140350877192
