Date,Site,sample_type,Avg_TPM,Avg_PIM,Avg_POM,Avg_OC_Ratio
10/26/18,Deanza,TSS,0.004391712946551654,0.0016239158690771547,0.0027677970774744993,0.6412475580391632
11/7/18,San Rafael,TSS,0.030041356032788097,0.005642497717161114,0.024398858315626985,0.8251015469708756
11/8/18,San Rafael,TSS,0.03245322245322245,0.004341649341649335,0.028111573111573113,0.8648325358851676
4/15/19,Deanza,TSS,0.005066666666666668,0.0018000000000000006,0.0032666666666666677,0.6431623931623931
4/17/19,Deanza,TSS,0.004033333333333333,0.001000000000000001,0.0030333333333333323,0.7672462480740018
4/18/19,Deanza,TSS,0.0015000000000000013,-0.0026666666666666644,0.004166666666666666,0.30271265053873797
5/10/19,Deanza,TSS,0.0051,8.000000000000021e-4,0.004299999999999998,0.8431372549019603
5/10/19,Shellmaker,TSS,0.005900900900900901,0.0014414414414414397,0.004459459459459462,0.7557251908396949
5/11/19,Deanza,TSS,0.0040000000000000036,9.499999999999995e-4,0.003050000000000004,0.7625000000000004
5/11/19,Shellmaker,TSS,0.005135135135135132,0.0013063063063063064,0.0038288288288288257,0.7456140350877192
5/19/19,Morro Bay,TSS,0.014454889555042889,0.002562716711102516,0.011892172843940372,0.8227272727272726
5/21/19,Deanza,TSS,0.003566666666666667,8.333333333333339e-4,0.0027333333333333333,0.7663551401869158
5/22/19,Deanza,TSS,0.0038333333333333323,8.666666666666636e-4,0.0029666666666666687,0.7739130434782616
5/22/19,Shellmaker,TSS,0.004916201117318431,9.683426443202947e-4,0.003947858472998137,0.8030303030303035
5/9/19,Deanza,TSS,0.0026666666666666644,5.666666666666645e-4,0.0021,0.7875000000000006
6/3/19,Morro Bay,TSS,0.0116,0.002599999999999993,0.009000000000000006,0.7758620689655178
6/4/19,Morro Bay,TSS,0.013399999999999995,0.0021999999999999936,0.011200000000000002,0.8358208955223885
6/5/19,Morro Bay,TSS,0.010899999999999993,0.001899999999999999,0.008999999999999994,0.8256880733944953
6/6/19,Morro Bay,TSS,0.012800000000000006,0.002800000000000011,0.009999999999999995,0.7812499999999992
6/8/19,Deanza,TSS,0.0036500000000000005,0.0010000000000000009,0.0026499999999999996,0.7260273972602738
6/8/19,Shellmaker,TSS,0.003949999999999995,7.999999999999952e-4,0.00315,0.7974683544303808
6/9/19,Deanza,TSS,0.002800000000000004,6.000000000000033e-4,0.0022000000000000006,0.7857142857142848
6/9/19,Shellmaker,TSS,0.0040180586907449176,7.223476297968422e-4,0.0032957110609480754,0.8202247191011228
7/17/18,San Rafael,TSS,0.07691374663072777,0.00896451033243488,0.06794923629829289,0.8828519276597525
7/18/18,San Rafael,TSS,0.03859483106743842,0.007963775594143062,0.030631055473295355,0.7953938277291573
7/27/18,Morro Bay,TSS,0.01753333333333333,0.004599999999999993,0.012933333333333338,0.7372231159664756
7/28/18,Morro Bay,TSS,0.014599999999999997,0.004866666666666668,0.00973333333333333,0.6668064398567967
9/10/18,San Rafael,TSS,0.03618717077733472,0.003609190088163726,0.03257798068917099,0.9024737615126629
