    Time, Temp_C_H,SpCond_mS/cm_H, Cond_mS/cm_H,  TDS_g/L_H,   Sal_ppt_H,Turbid_NTU_H,  Chl_ug/L_H,Experiment,    Date,Sonde,Position,Site
8:42:59,22.92,45.4,43.59,29.51,29.42,32.1,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:00,22.92,45.4,43.59,29.51,29.42,32,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:01,22.92,45.4,43.59,29.51,29.42,31.9,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:02,22.92,45.4,43.59,29.51,29.42,31.9,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:04,22.92,45.4,43.59,29.51,29.42,31.8,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:05,22.92,45.39,43.59,29.51,29.42,31.7,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:06,22.92,45.4,43.59,29.51,29.42,31.5,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:07,22.92,45.4,43.59,29.51,29.42,31.4,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:08,22.92,45.39,43.59,29.51,29.42,31.4,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:09,22.92,45.4,43.59,29.51,29.42,31.3,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:10,22.92,45.4,43.59,29.51,29.42,31.3,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:12,22.92,45.4,43.59,29.51,29.42,31.1,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:13,22.92,45.4,43.59,29.51,29.42,31,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:14,22.92,45.4,43.59,29.51,29.43,30.8,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:15,22.92,45.4,43.59,29.51,29.43,30.9,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:16,22.92,45.4,43.59,29.51,29.42,30.8,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:17,22.91,45.4,43.59,29.51,29.42,30.8,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:18,22.91,45.4,43.59,29.51,29.42,30.8,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:20,22.91,45.4,43.59,29.51,29.42,30.8,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:21,22.92,45.4,43.59,29.51,29.42,30.7,5.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:22,22.92,45.4,43.59,29.51,29.42,30.7,5.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:23,22.92,45.4,43.6,29.51,29.42,30.7,6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:24,22.93,45.4,43.6,29.51,29.42,30.7,6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:25,22.93,45.4,43.6,29.51,29.42,30.6,6.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:26,22.93,45.4,43.6,29.51,29.42,30.5,6,side-by-side-before,7/17/18,H,Up,San Rafael
