    Time, Temp,SpCond, Cond,  TDS,   Sal,Turbid+,  Chl,Experiment,    Date,Sonde,Position,Site
7:31:00,16.8,55.09,46.46,35.81,36.55,13.5,3.5,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:01,16.8,55.09,46.46,35.81,36.55,13.5,3.7,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:02,16.8,55.09,46.46,35.81,36.55,13.4,3.6,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:04,16.8,55.09,46.46,35.81,36.55,13.4,3.7,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:05,16.8,55.09,46.46,35.81,36.55,13.4,3.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:06,16.8,55.09,46.46,35.81,36.56,13.4,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:07,16.8,55.09,46.46,35.81,36.56,13.4,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:08,16.8,55.09,46.46,35.81,36.56,13.4,3.5,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:09,16.8,55.09,46.46,35.81,36.56,13.4,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:10,16.8,55.09,46.46,35.81,36.56,13.4,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:12,16.8,55.09,46.46,35.81,36.56,13.4,3.2,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:13,16.8,55.09,46.47,35.81,36.56,13.4,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:14,16.8,55.09,46.47,35.81,36.56,13.4,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:15,16.8,55.09,46.47,35.81,36.56,13.4,3.5,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:16,16.8,55.09,46.47,35.81,36.56,13.4,3.6,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:17,16.81,55.09,46.47,35.81,36.56,13.3,3.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:18,16.81,55.09,46.47,35.81,36.56,13.3,3.2,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:20,16.81,55.09,46.47,35.81,36.56,13.4,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:21,16.81,55.09,46.47,35.81,36.56,13.3,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:22,16.81,55.09,46.47,35.81,36.56,13.3,3.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:23,16.81,55.09,46.47,35.81,36.56,13.3,3.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:24,16.81,55.09,46.47,35.81,36.56,13.3,3.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:25,16.81,55.09,46.47,35.81,36.56,13.3,3.1,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:26,16.81,55.09,46.48,35.81,36.56,13.3,3.1,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:28,16.81,55.09,46.48,35.81,36.56,13.3,3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:29,16.81,55.09,46.48,35.81,36.56,13.3,3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:30,16.82,55.09,46.48,35.81,36.56,13.3,3.1,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:31,16.82,55.09,46.48,35.81,36.56,13.3,3.2,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:32,16.82,55.09,46.48,35.81,36.56,13.3,3.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:33,16.82,55.09,46.48,35.81,36.56,13.3,3.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:34,16.82,55.09,46.49,35.81,36.56,13.3,3.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:36,16.82,55.09,46.49,35.81,36.56,13.3,3.2,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:37,16.82,55.1,46.49,35.81,36.56,13.3,3.1,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:38,16.82,55.1,46.49,35.81,36.56,13.3,3.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:39,16.82,55.1,46.49,35.81,36.56,13.3,3.5,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:40,16.82,55.1,46.5,35.82,36.56,13.3,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:41,16.82,55.11,46.5,35.82,36.57,13.3,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:42,16.82,55.11,46.5,35.82,36.57,13.3,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:44,16.82,55.11,46.5,35.82,36.57,13.3,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:45,16.82,55.11,46.5,35.82,36.57,13.3,3.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:46,16.82,55.12,46.51,35.83,36.57,13.3,3.5,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:47,16.82,55.12,46.51,35.83,36.58,13.3,3.6,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:48,16.82,55.12,46.51,35.83,36.58,13.3,3.6,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:49,16.82,55.12,46.51,35.83,36.58,13.3,3.5,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:50,16.82,55.12,46.51,35.83,36.58,13.3,3.6,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:52,16.82,55.12,46.51,35.83,36.58,13.3,3.7,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:53,16.82,55.12,46.51,35.83,36.58,13.3,4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:54,16.82,55.12,46.51,35.83,36.58,13.3,4.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:55,16.82,55.12,46.51,35.83,36.58,13.3,4.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:56,16.82,55.12,46.51,35.83,36.57,13.2,4.3,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:57,16.83,55.11,46.51,35.82,36.57,13.2,4.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:31:58,16.83,55.12,46.51,35.83,36.57,13.2,4.6,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:00,16.83,55.12,46.51,35.83,36.58,13.2,4.5,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:01,16.83,55.12,46.52,35.83,36.58,13.2,4.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:02,16.83,55.12,46.52,35.83,36.58,13.2,4.6,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:03,16.83,55.12,46.52,35.83,36.58,13.2,4.5,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:04,16.83,55.12,46.52,35.83,36.58,13.3,4.2,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:05,16.83,55.12,46.52,35.83,36.58,13.3,4.5,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:06,16.83,55.12,46.52,35.83,36.58,13.3,4.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:08,16.83,55.12,46.52,35.83,36.58,13.3,4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:09,16.84,55.12,46.53,35.83,36.58,13.3,3.8,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:10,16.84,55.13,46.53,35.83,36.58,13.3,3.6,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:11,16.84,55.13,46.53,35.83,36.58,13.3,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:12,16.84,55.13,46.54,35.83,36.59,13.3,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:13,16.84,55.13,46.54,35.84,36.59,13.3,3.6,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:14,16.84,55.13,46.54,35.84,36.59,13.4,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:16,16.84,55.14,46.55,35.84,36.59,13.4,3.2,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:17,16.85,55.14,46.55,35.84,36.59,13.3,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:18,16.85,55.14,46.56,35.84,36.6,13.3,3.5,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:19,16.85,55.14,46.56,35.84,36.6,13.3,3.4,side-by-side-before,5/18/19,G,Down,Morro Bay
7:32:20,16.85,55.15,46.56,35.85,36.6,13.3,3.7,side-by-side-before,5/18/19,G,Down,Morro Bay
