    Time, Temp_C_H,SpCond_mS/cm_H, Cond_mS/cm_H,  TDS_g/L_H,   Sal+ppt_H,Turbid_NTU_H,  Chl_ug/L_H,Experiment,    Date,Sonde,Position,Site
14:37:59,20.82,51.82,47.69,33.68,34.14,2,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:00,20.82,51.83,47.69,33.69,34.15,2,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:01,20.83,51.82,47.69,33.68,34.14,2,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:02,20.83,51.82,47.69,33.68,34.14,2,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:04,20.83,51.82,47.69,33.68,34.14,2,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:05,20.83,51.81,47.69,33.68,34.14,2,2.6,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:06,20.83,51.81,47.68,33.68,34.13,1.9,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:07,20.83,51.81,47.68,33.68,34.13,1.9,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:08,20.83,51.8,47.68,33.67,34.13,1.9,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:09,20.83,51.8,47.67,33.67,34.13,1.9,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:10,20.82,51.8,47.67,33.67,34.13,1.9,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:12,20.82,51.8,47.67,33.67,34.13,2.1,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:13,20.82,51.8,47.67,33.67,34.13,2,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:14,20.82,51.8,47.67,33.67,34.13,2,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:15,20.82,51.8,47.67,33.67,34.13,2,3.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:16,20.82,51.8,47.67,33.67,34.13,2,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:17,20.82,51.8,47.66,33.67,34.13,2,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:18,20.82,51.8,47.67,33.67,34.13,2,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:20,20.82,51.8,47.67,33.67,34.13,2,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:21,20.82,51.81,47.67,33.67,34.13,2,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:22,20.82,51.81,47.68,33.68,34.14,2,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:23,20.82,51.81,47.68,33.68,34.14,2,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:24,20.83,51.81,47.68,33.68,34.13,1.9,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:25,20.83,51.81,47.68,33.67,34.13,2,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:26,20.83,51.81,47.68,33.67,34.13,1.9,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:28,20.83,51.81,47.68,33.67,34.13,1.9,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:29,20.83,51.8,47.68,33.67,34.13,2,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:30,20.83,51.8,47.67,33.67,34.13,1.9,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:31,20.83,51.8,47.67,33.67,34.13,1.9,3.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:32,20.83,51.8,47.67,33.67,34.12,1.9,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:33,20.82,51.8,47.66,33.67,34.12,1.9,3.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:34,20.82,51.8,47.66,33.67,34.12,1.9,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:36,20.82,51.79,47.66,33.67,34.12,1.8,3.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:37,20.82,51.79,47.66,33.67,34.12,1.8,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:38,20.82,51.8,47.66,33.67,34.13,1.8,3.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:39,20.82,51.8,47.66,33.67,34.13,1.8,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:40,20.82,51.8,47.66,33.67,34.13,1.8,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:41,20.82,51.8,47.66,33.67,34.13,1.8,3.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:42,20.82,51.8,47.66,33.67,34.13,1.8,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:44,20.81,51.79,47.65,33.67,34.12,1.8,3.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:45,20.81,51.79,47.65,33.67,34.12,1.8,3.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:46,20.81,51.79,47.65,33.66,34.12,1.8,3.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:47,20.81,51.79,47.64,33.66,34.12,1.8,3.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:48,20.81,51.79,47.64,33.66,34.12,1.8,3.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:49,20.8,51.79,47.64,33.66,34.12,1.7,3.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:50,20.8,51.79,47.63,33.66,34.12,1.7,3.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:52,20.8,51.78,47.63,33.66,34.12,1.7,3.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:53,20.8,51.78,47.63,33.66,34.11,1.8,3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:54,20.8,51.78,47.63,33.66,34.11,1.8,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:55,20.8,51.78,47.63,33.66,34.11,1.8,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:56,20.8,51.79,47.63,33.66,34.12,1.8,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:57,20.8,51.79,47.63,33.66,34.12,1.8,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:38:58,20.8,51.78,47.63,33.66,34.12,1.8,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:00,20.8,51.78,47.63,33.66,34.12,1.7,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:01,20.8,51.78,47.63,33.66,34.12,1.7,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:02,20.8,51.79,47.64,33.66,34.12,1.7,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:03,20.81,51.79,47.64,33.66,34.12,1.7,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:04,20.81,51.79,47.64,33.66,34.12,1.7,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
